id,family,name,direction,status,hc_reduced,final_hc,net_savings,total_invest,total_savings,payback_mo,final_prof,final_trust,final_ready,avg_damp,prod_valley,final_eff_adopt_pct,final_raw_adopt_pct,final_hmult,final_fatigue,months_simulated
SC-5.3,output_target,"+20% Output, -15% HC in Claims",inverse,OK,9,531,-3887016.666666667,4341600.0,454583.33333333326,0,27.829377617831504,36.493996841246584,46.81039462737334,0.07096207344952592,100.15950089137021,7.827073561260161,100.0,0.13027041485248836,0.005054177996085389,25
SC-12.2,composite,$15M in 24 Months (What Does It Take?),inverse,OK,48,1322,-7240300.0,11014800.0,3774499.9999999995,0,39.35418845973522,49.162161289711435,56.694708771612895,0.1565750157339184,100.18193970415179,17.972176610897485,100.0,0.2231174253667857,0.010740161792510848,25
SC-4.3,automation_target,Task Category Targets,inverse,OK,58,1312,-7964116.666666667,14467200.0,6503083.333333333,0,42.50899734873868,50.88305644146971,57.59441420449001,0.16710731542712887,100.15040048673849,20.39294032290128,100.0,0.24482808007208232,0.013017112406325066,37
SC-9.1a,sequencing,Sequence: Claims → Finance → People,forward,OK,15,950,-8888566.666666668,10190400.0,1301833.333333333,0,30.228307368272613,42.57597757445364,52.805992396841745,0.09444282696641719,100.08269732146664,9.976976143620298,89.98364953607324,0.1596235769058399,0.00470588567996468,37
SC-9.1b,sequencing,Sequence: People → Finance → Claims,forward,OK,15,950,-8888566.666666668,10190400.0,1301833.333333333,0,30.228307368272613,42.57597757445364,52.805992396841745,0.09444282696641719,100.08269732146664,9.976976143620298,89.98364953607324,0.1596235769058399,0.00470588567996468,37
SC-9.1c,sequencing,Sequence: Finance → Claims → People,forward,OK,15,950,-8888566.666666668,10190400.0,1301833.333333333,0,30.228307368272613,42.57597757445364,52.805992396841745,0.09444282696641719,100.08269732146664,9.976976143620298,89.98364953607324,0.1596235769058399,0.00470588567996468,37
SC-9.3a,sequencing,Phase: Reskill → Deploy → Reduce,forward,OK,9,531,-5117066.666666667,5702400.0,585333.3333333334,0,29.127760788022126,37.192456991429346,47.7729491332687,0.07398966469960544,100.13671504974589,7.682836777603567,89.98364953607324,0.13915190344922,0.005052105049080279,37
SC-9.3b,sequencing,Phase: Deploy → Reskill → Reduce,forward,OK,9,531,-5117066.666666667,5702400.0,585333.3333333334,0,29.127760788022126,37.192456991429346,47.7729491332687,0.07398966469960544,100.13671504974589,7.682836777603567,89.98364953607324,0.13915190344922,0.005052105049080279,37
SC-9.3c,sequencing,Phase: Deploy → Reduce → Reskill,forward,OK,4,536,-5368650.0,5702400.0,333750.0,0,27.878070104730515,36.5203672959052,47.8760878008801,0.07237383582614824,100.13671504974589,4.836509823568398,59.99593655102282,0.13346929320531686,0.0022336061991634886,37
SC-7.2,function_transformation,Which Function First? (3-way comparison),comparison,OK,12,953,-6217866.666666667,6542700.0,324833.3333333333,0,26.95639613771121,40.94990874575951,51.39615172153449,0.08697855059209021,100.08269732146664,8.028555302760148,86.61837720358594,0.13854550257595916,0.00375951274261109,19
SC-8.2,skill_intervention,Reskill vs. Hire vs. Contract (AI Ops),comparison,OK,0,945,-3515400.0,3515400.0,0.0,0,42.5,50.0,59.49999999999996,1.0,100.0,0,0.0,0.2528749999999998,0,25
SC-10.1,sensitivity,Readiness Sweep (20→90),sensitivity,OK,9,531,-5117066.666666667,5702400.0,585333.3333333334,0,29.127760788022126,37.192456991429346,47.7729491332687,0.07398966469960544,100.13671504974589,7.682836777603567,89.98364953607324,0.13915190344922,0.005052105049080279,37
